"Compound"	"Pathways of compound"	"ChEBI"	"Molecular-Weight"	"Common-Name"	"KEGG"	"Object ID"
A-LGAL-HEX-1:5	""			"a-lgal-HEX-1:5"		"A-LGAL-HEX-1:5"
A-DGAL-HEX-1:4	""			"a-dgal-HEX-1:4"		"A-DGAL-HEX-1:4"
X-DGAL-HEX-1:5_6:A	""			"x-dgal-HEX-1:5|6:a"		"X-DGAL-HEX-1:5_6:A"
B-LGAL-HEX-1:5_6:D	""			"b-lgal-HEX-1:5|6:d"		"B-LGAL-HEX-1:5_6:D"
B-DGAL-HEX-1:5	""			"b-dgal-HEX-1:5"		"B-DGAL-HEX-1:5"
A-LGAL-HEX-1:5_6:D	""			"a-lgal-HEX-1:5|6:d"		"A-LGAL-HEX-1:5_6:D"
NICOTINAMIDE_RIBOSE	PWY3O-96 // PWY3O-4106	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15927'>15927</a>"	255.25d0	"1-(&beta;-D ribofuranosyl)nicotinamide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03150'>C03150</a>"	"NICOTINAMIDE_RIBOSE"
O-UREIDOHOMOSERINE	""		177.16	"O-ureido-L-homoserine"		"O-UREIDOHOMOSERINE"
CPD-1091	PWY-5697 // PWY-5694 // ALLANTOINDEG-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57296'>57296</a>"	133.083	"(<i>S</i>)-ureidoglycolate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00603'>C00603</a>"	"CPD-1091"
INDOLE_PYRUVATE	PWY-5081	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17640'>17640</a>"	202.189	"(indol-3-yl)pyruvate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00331'>C00331</a>"	"INDOLE_PYRUVATE"
INDOLE_ACETALDEHYDE	PWY-5081	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18086'>18086</a>"	159.187d0	"(indol-3-yl)acetaldehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00637'>C00637</a>"	"INDOLE_ACETALDEHYDE"
CPD-10723	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37720'>37720</a>"	180.157	"&alpha;-D-fructofuranose"		"CPD-10723"
CPD-341	PWY-5081	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17890'>17890</a>"	161.203	"indole-3-ethanol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00955'>C00955</a>"	"CPD-341"
CPD-237	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16031'>16031</a>"	174.202	"(indol-3-yl)acetamide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02693'>C02693</a>"	"CPD-237"
5-HYDROXYINDOLE_ACETATE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62622'>62622</a>"	190.178	"5-hydroxyindole acetate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05635'>C05635</a>"	"5-HYDROXYINDOLE_ACETATE"
5-HYDROXYINDOLE_ACETALDEHYDE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50157'>50157</a>"	175.187	"5-hydroxyindole acetaldehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05634'>C05634</a>"	"5-HYDROXYINDOLE_ACETALDEHYDE"
