"","Total_Size","Hits","Sig_Hits","Mummichog_Pvals","GSEA_Pvals","Combined_Pvals"
"Aminoacyl-tRNA biosynthesis",22,19,19,0.04477,0.0177,0.00645
"N-Glycan biosynthesis",28,4,4,0.525,0.00187,0.00779
"Starch and sucrose metabolism",12,7,6,0.7213,0.00159,0.00892
"Amino sugar and nucleotide sugar metabolism",22,14,11,0.8602,0.00138,0.00917
"Galactose metabolism",17,6,4,0.9549,0.00167,0.01185
"Phosphatidylinositol signaling system",15,5,3,0.9748,0.0018,0.0129
"Inositol phosphate metabolism",15,7,5,0.9294,0.00333,0.02099
"Glyoxylate and dicarboxylate metabolism",25,11,11,0.1679,0.05031,0.04878
"Pyrimidine metabolism",34,17,16,0.2537,0.06911,0.08843
"Histidine metabolism",18,3,2,0.9409,0.02414,0.1087
"Glutathione metabolism",18,8,8,0.2742,0.09551,0.1216
"Fructose and mannose metabolism",14,7,7,0.3227,0.09554,0.1381
"Sulfur metabolism",13,4,3,0.8932,0.05342,0.1929
"Taurine and hypotaurine metabolism",7,2,2,0.725,0.06604,0.1934
"Thiamine metabolism",14,3,2,0.9409,0.06439,0.2304
"Folate biosynthesis",23,7,7,0.3227,0.2134,0.2531
"Glycerolipid metabolism",7,2,2,0.725,0.1,0.2628
"Lysine biosynthesis",15,6,6,0.3796,0.2015,0.2731
"Tyrosine metabolism",15,7,6,0.7213,0.1226,0.3029
"Phenylalanine metabolism",7,2,2,0.725,0.1453,0.3424
"Tryptophan metabolism",30,11,11,0.1679,0.6289,0.343
"Arginine biosynthesis",18,10,9,0.5491,0.2066,0.3603
"Cysteine and methionine metabolism",41,12,11,0.4475,0.2735,0.3795
"Methane metabolism",23,8,8,0.2742,0.5139,0.417
"C5-Branched dibasic acid metabolism",4,1,1,0.8516,0.1707,0.4257
"Pentose phosphate pathway",18,4,4,0.525,0.2865,0.4353
"Glycolysis / Gluconeogenesis",21,5,5,0.4465,0.3874,0.4765
"Valine, leucine and isoleucine biosynthesis",20,8,8,0.2742,0.6489,0.4851
"Cyanoamino acid metabolism",8,4,4,0.525,0.344,0.4897
"Valine, leucine and isoleucine degradation",16,7,7,0.3227,0.6176,0.5208
"Propanoate metabolism",17,3,3,0.617,0.3501,0.547
"Porphyrin and chlorophyll metabolism",20,9,8,0.6044,0.3599,0.5494
"Nicotinate and nicotinamide metabolism",12,8,5,0.9803,0.2368,0.5711
"Phenylalanine, tyrosine and tryptophan biosynthesis",21,7,7,0.3227,0.8694,0.6371
"Alanine, aspartate and glutamate metabolism",22,14,13,0.3596,0.803,0.6475
"Lysine degradation",11,4,4,0.525,0.5693,0.6598
"beta-Alanine metabolism",11,5,4,0.8388,0.4049,0.7064
"Nitrogen metabolism",5,2,2,0.725,0.4943,0.7261
"Glycerophospholipid metabolism",10,6,5,0.7808,0.4801,0.7426
"Sphingolipid metabolism",9,5,2,0.998,0.3893,0.7558
"Purine metabolism",62,28,23,0.7765,0.5289,0.7762
"Pantothenate and CoA biosynthesis",18,6,4,0.9549,0.4353,0.7806
"Butanoate metabolism",14,3,3,0.617,0.7208,0.8051
"Vitamin B6 metabolism",11,4,3,0.8932,0.5085,0.8126
"Steroid biosynthesis",29,8,4,0.9975,0.4691,0.8233
"Glycine, serine and threonine metabolism",28,9,8,0.6044,0.9367,0.8882
"Riboflavin metabolism",11,2,1,0.9782,0.6089,0.9042
"Pyruvate metabolism",20,6,5,0.7808,0.7867,0.9136
"Terpenoid backbone biosynthesis",13,5,2,0.998,0.6324,0.9216
"Sesquiterpenoid and triterpenoid biosynthesis",4,2,1,0.9782,0.6681,0.9315
"Pentose and glucuronate interconversions",12,2,1,0.9782,0.7415,0.9583
"Monobactam biosynthesis",4,2,1,0.9782,0.766,0.9656
"Arginine and proline metabolism",25,10,8,0.8258,0.9102,0.9662
"Ubiquinone and other terpenoid-quinone biosynthesis",2,1,1,0.8516,0.9016,0.9707
"Carbapenem biosynthesis",3,3,2,0.9409,0.8356,0.9753
"Citrate cycle (TCA cycle)",16,8,5,0.9803,0.9334,0.9963
