"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number"
"threonine degradation","29","10","10","13.417","0.17177","0.4979","0.059697","0","0","P0"
"gluconeogenesis","21","9","9","9.716","0.20534","0.55623","0.068927","0","0","P1"
"glycolysis III (glucokinase)","18","9","9","8.328","0.20534","0.55623","0.068927","0","0","P2"
"leucine biosynthesis","16","8","8","7.4026","0.24534","0.618","0.08086","1281","0.1281","P3"
"glycolysis","17","8","8","7.8653","0.24534","0.618","0.08086","0","0","P4"
"isoleucine biosynthesis","15","7","7","6.94","0.29297","0.68237","0.096503","213","0.0213","P5"
"tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde","13","7","7","6.0146","0.29297","0.68237","0.096503","1896","0.1896","P6"
"histidine biosynthesis","22","11","10","10.179","0.45335","0.74251","0.11534","0","0","P7"
"methionine biosynthesis","18","6","6","8.328","0.34968","0.74805","0.11735","54","0.0054","P8"
"methionine salvage pathway","15","6","6","6.94","0.34968","0.74805","0.11735","0","0","P9"
"glycogen degradation","16","6","6","7.4026","0.34968","0.74805","0.11735","500","0.05","P10"
"tryptophan degradation I (via anthranilate)","9","6","6","4.164","0.34968","0.74805","0.11735","0","0","P11"
"arginine biosynthesis","26","15","13","12.029","0.56126","0.78673","0.13299","87","0.0087","P12"
"citrulline biosynthesis","22","10","9","10.179","0.50747","0.78952","0.13424","0","0","P13"
"homocysteine and cysteine interconversion","11","5","5","5.0893","0.41714","0.81316","0.1457","0","0","P14"
"phenylalanine biosynthesis","11","5","5","5.0893","0.41714","0.81316","0.1457","0","0","P15"
"valine biosynthesis","12","5","5","5.552","0.41714","0.81316","0.1457","37","0.0037","P16"
"dolichyl phosphate D-mannose biosynthesis","9","5","5","4.164","0.41714","0.81316","0.1457","1379","0.1379","P17"
"folate transformations","26","5","5","12.029","0.41714","0.81316","0.1457","16","0.0016","P18"
"folate polyglutamylation","23","5","5","10.641","0.41714","0.81316","0.1457","4424","0.4424","P19"
"4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis","11","5","5","5.0893","0.41714","0.81316","0.1457","6520","0.652","P20"
"phenylalanine degradation","12","5","5","5.552","0.41714","0.81316","0.1457","0","0","P21"
"uridine-5'-phosphate biosynthesis","20","9","8","9.2533","0.56534","0.83421","0.15734","4571","0.4571","P22"
"superpathway of of purine nucleotides de novo biosynthesis","42","13","11","19.432","0.65582","0.85668","0.17169","7359","0.7359","P23"
"3-dehydroquinate biosynthesis","6","4","4","2.776","0.49736","0.8751","0.18535","0","0","P24"
"homocysteine biosynthesis","8","4","4","3.7013","0.49736","0.8751","0.18535","0","0","P25"
"serine biosynthesis from 3-phosphoglycerate","11","4","4","5.0893","0.49736","0.8751","0.18535","1","1e-04","P26"
"tyrosine biosynthesis","11","4","4","5.0893","0.49736","0.8751","0.18535","0","0","P27"
"4-aminobutyrate degradation","9","4","4","4.164","0.49736","0.8751","0.18535","0","0","P28"
"aspartate degradation II","8","4","4","3.7013","0.49736","0.8751","0.18535","0","0","P29"
"glutamate degradation X","10","4","4","4.6266","0.49736","0.8751","0.18535","0","0","P30"
"isoleucine degradation II","10","4","4","4.6266","0.49736","0.8751","0.18535","0","0","P31"
