"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number"
"Aminoacyl-tRNA biosynthesis","22","19","19","14.935","0.044767","0.193","0.010964","1822","0.1822","P0"
"Tryptophan metabolism","30","11","11","20.366","0.16791","0.4898","0.02729","327","0.0327","P1"
"Glyoxylate and dicarboxylate metabolism","25","11","11","16.972","0.16791","0.4898","0.02729","0","0","P2"
"Pyrimidine metabolism","34","17","16","23.082","0.25371","0.51722","0.029876","0","0","P3"
"Alanine, aspartate and glutamate metabolism","22","14","13","14.935","0.35962","0.64737","0.047001","0","0","P4"
"Valine, leucine and isoleucine biosynthesis","20","8","8","13.577","0.2742","0.65648","0.048604","2672","0.2672","P5"
"Glutathione metabolism","18","8","8","12.22","0.2742","0.65648","0.048604","7533","0.7533","P6"
"Methane metabolism","23","8","8","15.614","0.2742","0.65648","0.048604","5217","0.5217","P7"
"Fructose and mannose metabolism","14","7","7","9.5042","0.32269","0.71634","0.061075","1151","0.1151","P8"
"Valine, leucine and isoleucine degradation","16","7","7","10.862","0.32269","0.71634","0.061075","1196","0.1196","P9"
"Phenylalanine, tyrosine and tryptophan biosynthesis","21","7","7","14.256","0.32269","0.71634","0.061075","0","0","P10"
"Folate biosynthesis","23","7","7","15.614","0.32269","0.71634","0.061075","7873","0.7873","P11"
"Cysteine and methionine metabolism","41","12","11","27.834","0.44746","0.73629","0.066148","8728","0.8728","P12"
"Lysine biosynthesis","15","6","6","10.183","0.37963","0.77659","0.078271","3353","0.3353","P13"
"Arginine biosynthesis","18","10","9","12.22","0.54906","0.82125","0.095685","886","0.0886","P14"
"Glycolysis / Gluconeogenesis","21","5","5","14.256","0.44649","0.83554","0.10247","1493","0.1493","P15"
"Glycine, serine and threonine metabolism","28","9","8","19.008","0.60441","0.8603","0.1161","5632","0.5632","P16"
"Porphyrin and chlorophyll metabolism","20","9","8","13.577","0.60441","0.8603","0.1161","7914","0.7914","P17"
"Purine metabolism","62","28","23","42.09","0.77653","0.88973","0.13653","9818","0.9818","P18"
"Pentose phosphate pathway","18","4","4","12.22","0.52495","0.89089","0.13745","1299","0.1299","P19"
"Lysine degradation","11","4","4","7.4676","0.52495","0.89089","0.13745","5296","0.5296","P20"
"Cyanoamino acid metabolism","8","4","4","5.431","0.52495","0.89089","0.13745","7071","0.7071","P21"
"N-Glycan biosynthesis","28","4","4","19.008","0.52495","0.89089","0.13745","5445","0.5445","P22"
"Tyrosine metabolism","15","7","6","10.183","0.7213","0.92723","0.17355","8037","0.8037","P23"
"Starch and sucrose metabolism","12","7","6","8.1465","0.7213","0.92723","0.17355","4398","0.4398","P24"
"Propanoate metabolism","17","3","3","11.541","0.61701","0.93959","0.19036","0","0","P25"
"Butanoate metabolism","14","3","3","9.5042","0.61701","0.93959","0.19036","0","0","P26"
"Arginine and proline metabolism","25","10","8","16.972","0.82584","0.95141","0.21002","5094","0.5094","P27"
"Glycerophospholipid metabolism","10","6","5","6.7887","0.78075","0.95344","0.21385","8745","0.8745","P28"
"Pyruvate metabolism","20","6","5","13.577","0.78075","0.95344","0.21385","2317","0.2317","P29"
"Amino sugar and nucleotide sugar metabolism","22","14","11","14.935","0.86023","0.9552","0.21732","9771","0.9771","P30"
"beta-Alanine metabolism","11","5","4","7.4676","0.8388","0.97391","0.26535","8993","0.8993","P31"
"Phenylalanine metabolism","7","2","2","4.7521","0.72498","0.97767","0.2789","0","0","P32"
"Taurine and hypotaurine metabolism","7","2","2","4.7521","0.72498","0.97767","0.2789","0","0","P33"
"Glycerolipid metabolism","7","2","2","4.7521","0.72498","0.97767","0.2789","6826","0.6826","P34"
"Nitrogen metabolism","5","2","2","3.3944","0.72498","0.97767","0.2789","0","0","P35"
"Vitamin B6 metabolism","11","4","3","7.4676","0.89318","0.98829","0.33317","9751","0.9751","P36"
"Sulfur metabolism","13","4","3","8.8254","0.89318","0.98829","0.33317","3415","0.3415","P37"
"Inositol phosphate metabolism","15","7","5","10.183","0.92938","0.98838","0.33381","3929","0.3929","P38"
"Galactose metabolism","17","6","4","11.541","0.95488","0.99438","0.39075","6290","0.629","P39"
"Pantothenate and CoA biosynthesis","18","6","4","12.22","0.95488","0.99438","0.39075","9667","0.9667","P40"
"Carbapenem biosynthesis","3","3","2","2.0366","0.94093","0.99671","0.42999","38","0.0038","P41"
"Histidine metabolism","18","3","2","12.22","0.94093","0.99671","0.42999","6879","0.6879","P42"
"Thiamine metabolism","14","3","2","9.5042","0.94093","0.99671","0.42999","5442","0.5442","P43"
"Citrate cycle (TCA cycle)","16","8","5","10.862","0.98026","0.99735","0.44515","3029","0.3029","P44"
"Nicotinate and nicotinamide metabolism","12","8","5","8.1465","0.98026","0.99735","0.44515","6453","0.6453","P45"
"Phosphatidylinositol signaling system","15","5","3","10.183","0.97475","0.99788","0.46033","8297","0.8297","P46"
"Steroid biosynthesis","29","8","4","19.687","0.9975","0.99979","0.59485","9582","0.9582","P47"
"Sphingolipid metabolism","9","5","2","6.1099","0.99798","0.99993","0.64808","9576","0.9576","P48"
"Terpenoid backbone biosynthesis","13","5","2","8.8254","0.99798","0.99993","0.64808","9744","0.9744","P49"
"Pentose and glucuronate interconversions","12","2","1","8.1465","0.9782","1","1","0","0","P50"
"Ubiquinone and other terpenoid-quinone biosynthesis","2","1","1","1.3577","0.85159","1","1","9347","0.9347","P51"
"Monobactam biosynthesis","4","2","1","2.7155","0.9782","1","1","9928","0.9928","P52"
"C5-Branched dibasic acid metabolism","4","1","1","2.7155","0.85159","1","1","3535","0.3535","P53"
"Riboflavin metabolism","11","2","1","7.4676","0.9782","1","1","9299","0.9299","P54"
"Sesquiterpenoid and triterpenoid biosynthesis","4","2","1","2.7155","0.9782","1","1","9145","0.9145","P55"
