"","Query.Mass","Matched.Compound","Matched.Form","Cpd.mass","KeggID","BiocycID","chem.name","p.value","t.score","keggpath","biocycpath","wt_L1","wt_H1","wt_H2","wt_H3","wt_H4","wt_H5","wt_H6","wt_L2","wt_L3","wt_L4","wt_L5","wt_L6"
"1",252.1083,"CH33ADO","M+H[1+]",251.1083,"C05198","CH33ADO","empty",1.34228837238665e-09,39.4684695670704,"empty","PWY-7286 ; PWY-7283 ; PWY-7382 ; PWY-7381 ; PWY-7386 ; PWY0-1507 ; PWY0-501",2715.3348,1015105.464,1101065.667,547479.2871,732639.622,667337.3225,555152.6281,3038.9951,4713.2385,3181.009,3137.2481,3888.4154
"2",252.1083,"C00559","M+H[1+]",251.1083,"C00559","empty","empty",1.34228837238665e-09,39.4684695670704,"map00230;map01100;map02010","empty",2715.3348,1015105.464,1101065.667,547479.2871,732639.622,667337.3225,555152.6281,3038.9951,4713.2385,3181.009,3137.2481,3888.4154
"3",252.1083,"DIHYDRONEOPTERIN-P","M-HCOOK+H[1+]",335.1083,"C05925","DIHYDRONEOPTERIN-P","empty",1.34228837238665e-09,39.4684695670704,"map00790;map01100","PWY-6147 ; PWY-6612 ; FOLSYN-PWY",2715.3348,1015105.464,1101065.667,547479.2871,732639.622,667337.3225,555152.6281,3038.9951,4713.2385,3181.009,3137.2481,3888.4154
"4",252.1083,"NICOTINAMIDE_NUCLEOTIDE","M-HCOOK+H[1+]",335.1083,"C00455","NICOTINAMIDE_NUCLEOTIDE","empty",1.34228837238665e-09,39.4684695670704,"map00760;map01100","PERIPLASMA-NAD-DEGRADATION ; PWY3O-4106",2715.3348,1015105.464,1101065.667,547479.2871,732639.622,667337.3225,555152.6281,3038.9951,4713.2385,3181.009,3137.2481,3888.4154
"5",220.082,"C01118","M+H[1+]",219.082,"C01118","O-SUCCINYL-L-HOMOSERINE","empty",1.9432019727023e-09,33.203677951689,"map00270;map00920;map01100;map01110;map01230","PWY-7269 ; PWY-7245 ; PWY-7269-YEAST ; PWY-7119 ; PWY-7367 ; PWY-801 ; PWY-821 ; PWY-6293",2139.2787,337927.1553,381593.8,259439.5076,185305.8215,182562.4908,176271.1379,1848.5164,3004.7044,4483.0804,3887.2485,1702.0145
"6",220.082,"DIHYDRO-NEO-PTERIN","M-H4O2+H[1+]",255.082,"C04874","DIHYDRO-NEO-PTERIN","empty",1.9432019727023e-09,33.203677951689,"map00790;map01100","PWY-6147 ; PWY-6612 ; FOLSYN-PWY",2139.2787,337927.1553,381593.8,259439.5076,185305.8215,182562.4908,176271.1379,1848.5164,3004.7044,4483.0804,3887.2485,1702.0145
"7",220.082,"N2-SUCCINYLGLUTAMATE","M-CO+H[1+]",247.082,"empty","N2-SUCCINYLGLUTAMATE","N2 SUCCINYLGLUTAMATE",1.9432019727023e-09,33.203677951689,"empty","empty",2139.2787,337927.1553,381593.8,259439.5076,185305.8215,182562.4908,176271.1379,1848.5164,3004.7044,4483.0804,3887.2485,1702.0145
"8",220.082,"NICOTINAMIDE_RIBOSE","M-H4O2+H[1+]",255.082,"C03150","NICOTINAMIDE_RIBOSE","empty",1.9432019727023e-09,33.203677951689,"map00760;map01100;map04212","PWY3O-96 ; PWY3O-4106",2139.2787,337927.1553,381593.8,259439.5076,185305.8215,182562.4908,176271.1379,1848.5164,3004.7044,4483.0804,3887.2485,1702.0145
"9",270.092,"C00294","M(C13)+H[1+]",268.092,"C00294","INOSINE","empty",1.9432019727023e-09,35.0605216549924,"map00230;map01100;map02010","PWY0-1296 ; PWY3O-2220 ; PWY3O-1",17780.5258,142122.0966,154191.0956,153707.8052,87379.9799,132371.6656,113741.049,10591.3117,16598.8102,16972.3182,19649.3165,15305.0221
"10",343.1242,"ALPHA-MALTOSE","M+H[1+]",342.1242,"C00208","ALPHA-MALTOSE","ALPHA MALTOSE",1.9432019727023e-09,32.3702991708503,"map00500;map01100;map01110;map02010;map02030;map02060;map04742;map04973","empty",1834.4196,197920.1742,160101.8799,164214.7542,70069.5489,81095.1843,118533.6048,648.5304,1517.0929,504.6743,1174.1882,861.818
"11",343.1242,"MALTOSE","M+H[1+]",342.1242,"C00208","MALTOSE","MALTOSE",1.9432019727023e-09,32.3702991708503,"map00500;map01100;map01110;map02010;map02030;map02060;map04742;map04973","empty",1834.4196,197920.1742,160101.8799,164214.7542,70069.5489,81095.1843,118533.6048,648.5304,1517.0929,504.6743,1174.1882,861.818
"12",343.1242,"C00089","M+H[1+]",342.1242,"C00089","SUCROSE","empty",1.9432019727023e-09,32.3702991708503,"map00052;map00500;map01100;map01110;map02010;map02060;map04742;map04973","PWY-621",1834.4196,197920.1742,160101.8799,164214.7542,70069.5489,81095.1843,118533.6048,648.5304,1517.0929,504.6743,1174.1882,861.818
"13",343.1242,"C01083","M+H[1+]",342.1242,"C01083","TREHALOSE","empty",1.9432019727023e-09,32.3702991708503,"map00500;map01100;map01110;map02010;map02060","PWY-881 ; TRESYN-PWY ; PWY0-1466 ; PWY0-1182 ; PWY-6981",1834.4196,197920.1742,160101.8799,164214.7542,70069.5489,81095.1843,118533.6048,648.5304,1517.0929,504.6743,1174.1882,861.818
