"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YDL248W",563,574,502,357,174,171,178,238
"YDL247W-A",9,9,5,8,3,4,5,7
"YDL247W",36,34,24,14,10,10,31,39
"YDL246C",42,25,20,10,5,10,9,14
"YDL245C",20,21,8,3,1,0,0,0
"YDL244W",31,44,31,18,13,12,6,6
"YDL243C",220,197,146,81,67,70,58,57
"YDL242W",6,8,7,0,2,2,0,0
"YDL241W",14,10,38,64,68,56,94,62
"YDL240W",243,143,303,382,362,475,505,540
"YDL239C",593,484,583,411,261,207,138,246
"YDL238C",459,393,413,231,117,82,69,78
"YDL237W",1008,948,948,765,540,558,556,523
"YDL236W",153,191,473,588,557,644,766,643
"YDL235C",445,421,474,798,600,581,559,531
"YDL234C",2526,2503,2260,554,333,252,315,310
"YDL233W",416,427,299,163,128,125,138,122
"YDL232W",39,35,46,77,70,74,83,74
"YDL231C",724,577,694,601,468,539,559,540
"YDL230W",246,251,175,153,154,123,108,147
"YDL229W",117,125,1782,4705,5828,9511,17597,17019
"YDL228C",0,0,1,2,1,4,2,2
"YDL227C",11,6,17,15,17,81,562,829
"YDL226C",283,258,411,556,600,700,844,775
"YDL225W",777,748,897,1140,1023,969,965,857
"YDL224C",523,465,674,685,512,611,734,667
"YDL223C",6356,5611,3327,1151,376,227,130,112
"YDL222C",4471,3877,2482,686,134,50,26,22
"YDL221W",31,44,25,13,6,3,1,0
"YDL220C",73,69,100,211,184,189,198,164
"YDL219W",50,51,82,159,167,238,349,321
"YDL218W",26,28,35,19,14,14,17,5
"YDL217C",183,191,251,265,229,219,215,187
"YDL216C",385,348,250,181,124,114,128,141
"YDL215C",9987,10548,10822,12592,5046,1972,586,514
"YDL214C",1813,1519,410,24,20,22,52,39
"YDL213C",41,51,221,502,611,766,1105,696
"YDL212W",428,405,519,627,718,800,1098,1048
"YDL211C",11,5,55,94,79,79,148,109
"YDL210W",21,20,47,43,20,16,23,20
"YDL209C",32,32,215,211,166,165,205,170
"YDL208W",84,109,583,1220,1297,1638,2055,1460
"YDL207W",499,426,522,453,426,484,539,497
"YDL206W",742,571,572,328,168,122,164,176
"YDL205C",391,350,356,298,319,352,451,485
"YDL204W",5886,4631,2064,397,122,71,80,119
"YDL203C",381,321,395,411,342,338,370,285
"YDL202W",266,266,248,264,205,216,219,192
"YDL201W",48,41,167,349,327,495,629,371
"YDL200C",419,447,410,413,294,251,257,193
"YDL199C",912,768,321,107,63,35,33,86
"YDL198C",144,80,159,420,434,436,615,506
"YDL197C",657,575,340,198,221,191,337,331
"YDL196W",2,4,3,0,2,5,1,0
"YDL195W",2245,1990,1722,1435,1411,1601,2122,1925
"YDL194W",1117,739,206,48,34,54,103,104
"YDL193W",584,456,366,320,281,302,382,322
"YDL192W",627,703,954,1457,1819,2258,3697,3853
"YDL191W",360,378,644,1487,2026,2926,5498,7076
"YDL190C",1159,1163,1038,1053,839,865,918,900
"YDL189W",278,292,415,571,573,647,739,689
"YDL188C",743,690,679,603,440,433,489,588
"YDL187C",12,17,16,3,4,2,9,6
"YDL185W",4444,4097,4547,4592,3948,4586,6227,6676
"YDL184C",632,588,531,688,668,735,1401,1919
"YDL183C",560,464,179,69,60,47,76,77
"YDL182W",392,401,1467,1237,734,1343,4054,2543
"YDL181W",1231,1230,1070,657,316,154,72,209
"YDL180W",517,375,453,359,261,209,263,234
"YDL179W",249,274,259,210,189,262,270,232
"YDL178W",1026,1000,1107,1726,1568,1278,910,535
"YDL177C",63,91,191,166,145,124,110,91
"YDL176W",350,301,390,351,292,284,353,338
"YDL175C",301,287,237,174,178,193,208,188
"YDL174C",3389,3051,2645,1198,720,654,904,1051
"YDL173W",747,756,912,800,519,526,530,568
"YDL172C",17,7,10,21,19,23,22,13
"YDL171C",1543,1341,1504,3396,2464,2456,2819,1824
"YDL170W",295,327,646,480,381,352,349,276
"YDL169C",1282,1265,748,170,61,36,21,24
"YDL168W",462,506,597,656,627,576,630,516
"YDL167C",31,31,492,938,858,1268,1291,633
"YDL166C",49,42,95,261,363,372,483,312
"YDL165W",406,412,316,358,332,319,337,247
"YDL164C",167,154,142,381,523,556,748,582
"YDL161W",1576,1567,1114,782,724,609,666,601
"YDL160C-A",78,77,82,91,88,98,85,61
"YDL160C",1698,1662,1264,796,452,515,577,607
"YDL159W",455,403,336,263,193,197,190,165
"YDL158C",14,10,24,45,56,71,129,143
