"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YDL248W",9.07239822809396,9.18200303812839,8.79018683368414,8.34829280596113,7.60707576631954,7.57016099224913,7.45289558419023,7.98113806504627
"YDL247W-A",3.55178898428714,3.61354292707037,2.88854186028553,3.37430901802184,2.64618031821662,2.88654253306903,2.97809749303687,3.38919432682812
"YDL247W",5.23085921927266,5.23076851105142,4.60329712248252,3.98986107625753,3.83074605449114,3.82095105660566,5.05560017263477,5.4661372727307
"YDL246C",5.4351027592873,4.83147965548075,4.37755810208656,3.61108026108634,3.10248464681028,3.82095105660566,3.56865700225987,4.16388974144371
"YDL245C",4.47880239277407,4.61065651544465,3.34158810540354,2.48886354114378,1.90421610827786,0.77661633719673,0.77661633719673,0.77661633719673
"YDL244W",5.03522940732827,5.57370336586619,4.92869062298404,4.28804188056923,4.13510225297381,4.03064094384075,3.1516678562061,3.23232433757256
"YDL243C",7.73093210976548,7.65525060995103,7.03521479765506,6.2584552001945,6.26955015226345,6.31809001638113,5.89129553349382,5.97902987399503
"YDL242W",3.13640540639475,3.48699148182886,3.2069277620744,0.77661633719673,2.33526763521633,2.32912010959204,0.77661633719673,0.77661633719673
"YDL241W",4.04883324372083,3.72950644445404,5.19370711496258,5.93523791840661,6.29000160389909,6.01120784262766,6.55640224286281,6.09416409280076
"YDL240W",7.87219778516641,7.20220831638619,8.06909461934544,8.44495344305965,8.65083709348491,9.02745191409764,8.93903879326353,9.15220736132847
"YDL239C",9.1468322661179,8.93753584852896,9.00444879270361,8.54952274814769,8.18362433140524,7.841301911451,7.09375134540868,8.02820270123146
"YDL238C",8.77982902879869,8.639381565384,8.51103513439119,7.72845642548183,7.04666416025753,6.53744278467323,6.12884937464492,6.41078281452605
"YDL237W",9.90863795135179,9.90248607241656,9.70213953972198,9.43974790030468,9.22376181122181,9.2583841463599,9.0769192871711,9.10634040062767
"YDL236W",7.21701528195566,7.61139110378971,8.70502134076236,9.06223925299365,9.26822809814034,9.46410428846197,9.53667416576811,9.40267823007905
"YDL235C",8.73549257945568,8.73785123614423,8.70804332975682,9.50038323589298,9.37494019013514,9.31633851264861,9.08463371962904,9.12810660954196
"YDL234C",11.2309069838803,11.2999772074438,10.952059341817,8.9768745782585,8.53143541988216,8.12126696435872,8.26414173063288,8.35792114736365
"YDL233W",8.63907564124174,8.75810502057917,8.05016694705431,7.2350331664585,7.17312231318916,7.12753283647871,7.09375134540868,7.03535872677008
"YDL232W",5.33660537829611,5.26898523625775,5.44664486692949,6.18866692506463,6.33005399182842,6.39497647958737,6.38366485385953,6.33790749038755
"YDL231C",9.43321552999262,9.18947950295384,9.25435309498829,9.09358869684784,9.01857834875415,9.20868797536093,9.08463371962904,9.15220736132847
"YDL230W",7.88964433957795,7.99949726954755,7.29041709848176,7.14581097465187,7.43417725215581,7.10483072926935,6.74999150839975,7.29794709957883
"YDL229W",6.84004624993657,7.01288754994251,10.6099023806832,12.0544467602869,12.6482223836251,13.3420377182814,14.052143521454,14.1218269756608
"YDL228C",0.77661633719673,0.77661633719673,1.78694520296533,2.19976246164476,1.90421610827786,2.88654253306903,2.24396024166261,2.30010836318671
"YDL227C",3.77219729839297,3.19233998287959,4.1811408168723,4.07050175049259,4.45995324430164,6.52038563134911,9.09230711968319,9.76759579334464
"YDL226C",8.08907871019281,8.03866025787174,8.5040973689315,8.9820383151351,9.37494019013514,9.5838398283452,9.67595893375407,9.67081427812734
