RxnID rxnID_in_model
R02480	r_4152
R02855	r_4153
R02855_2	r_4154
6.3.5.6-RXN	r_4155
MNXR100968	r_4156
MNXR116282	r_4157
R02364	r_4158
R05970	r_4159
MNXR106807	r_4160
MNXR95951	r_4161
MNXR100645	r_4162
MNXR101266	r_4163
R01558	r_4164
R05980	r_4165
R05981	r_4166
MNXR101803	r_4167
MNXR99660	r_4168
MNXR100023	r_4169
R01007	r_4170
R03916	r_4171
MNXR96495	r_4172
R11528	r_4173
MNXR96713	r_4174
RXN-9909	r_4175
BENZYL-ALCOHOL-DEHYDROGENASE-RXN	r_4176
R05347	r_4177
RXN-662	r_4178
RXN-8581	r_4179
R01763	r_4180
MNXR125914	r_4181
RHEA:53916	r_4182
R00868	r_4183
R00008	r_4184
R00217	r_4185
R07606	r_4186
R03661	r_4187
R11861	r_4188
R04734	r_4189
R00275_2	r_4190
R02587	r_4191
R03875	r_4192
R03938	r_4193
MNXR105277	r_4194
MNXR105277_2	r_4195
R00100	r_4196
R00100_2	r_4197
RXN-12898	r_4198
R03522	r_4199
R03522_2	r_4200
R03522_4	r_4201
R02025	r_4202
RXN0-6977	r_4203
RXN0-6979	r_4204
R00251	r_4205
R05758	r_4206
R03522_3	r_4207
R01108	r_4208
R01108_2	r_4209
R00778	r_4210
R10089	r_4211
R07456	r_4212
R10686	r_4213
R00899	r_4214
R04951	r_4215
R00548	r_4216
R00078	r_4217
RHEA:53744	r_4218
RHEA:25347	r_4219
R03024	r_4220
R02896	r_4221
R01092	r_4222
R03352	r_4223
RHEA:14633	r_4224
MNXR124322	r_4225
R00258	r_4226
R02540	r_4227
R03096	r_4228
R03909	r_4229
R05551	r_4230
R05590	r_4231
R01737	r_4232
R04496	r_4233
R05916	r_4234
R00299	r_4235
R09796	r_4236
MNXR96434	r_4237
MNXR96434_2	r_4238
R03862	r_4239
R05976	r_4240
R05979	r_4241
R08599	r_4242
R05973	r_4243
R06238	r_4244
R09645	r_4245
3.2.1.24-RXN	r_4246
R10463	r_4247
R00221	r_4248
R00897	r_4249
R01004	r_4250
R01799	r_4251
R10685	r_4252
R06264	r_4253
R05725	r_4254
R05725_2	r_4255
R07770	r_4256
R07771	r_4257
R11143	r_4258
R05924	r_4259
R12024	r_4260
R12024_2	r_4261
R01324	r_4262
MNXR96797	r_4263
R00402	r_4264
R01532	r_4265
RXN0-384	r_4266
R01855	r_4267
R11323	r_4268
3.6.1.19-RXN	r_4269
R00275	r_4270
R05982	r_4271
R06722	r_4272
R00025	r_4273
R00999	r_4274
R09541	r_4275
R09541_2	r_4276
R00851	r_4277
R03613	r_4278
R09832	r_4279
R07766	r_4280
R07769	r_4281
R02732	r_4282
R00867	r_4283
R01600	r_4284
R01786	r_4285
R01961	r_4286
R03920	r_4287
R02739	r_4288
R00264	r_4289
R00631	r_4290
R01752	r_4291
R01986	r_4292
R02549	r_4293
R02678	r_4294
R02940	r_4295
R02957	r_4296
R03283	r_4297
R03869	r_4298
R04065	r_4299
R04506	r_4300
R04903	r_4301
R05050	r_4302
R05237	r_4303
R05238	r_4304
R05286	r_4305
R06366	r_4306
R08146	r_4307
MNXR125804	r_4308
RXN-15089	r_4309
R06127	r_4310
R06128	r_4311
R02144	r_4312
R06259	r_4313
R06261	r_4314
R00717	r_4315
R06260	r_4316
R00801	r_4317
R01718	r_4318
R01791	r_4319
R06262	r_4320
R06263	r_4321
R07129	r_4322
R07767	r_4323
R07768	r_4324
RXN-14381	r_4325
R01931	r_4326
MNXR101505	r_4327
R01005	r_4328
MNXR104466	r_4329
R01708	r_4330
R01206	r_4331
MNXR96691	r_4332
R03042	r_4333
MNXR96952	r_4334
RXN-14214	r_4335
R03804	r_4336
MNXR124629	r_4337
R06199	r_4338
MNXR99010	r_4339
RHEA:45948  r_4340
