Substrate	Name_in_Model	Substrate_type	Growth_Biolog	Growth_Model
L-Malic Acid	(S)-malate	C	NG	G
L-Glutamic Acid	L-glutamate	C	NG	G
Thymidine	thymidine	C	NG	NG
D-Malic Acid		C	NG	NG
L-Alanine	L-alanine	C	NG	G
Fumaric Acid	fumarate	C	NG	G
L-Lactic Acid	(S)-lactate	C	G	G
Butyric Acid	butyrate	C	NG	NG
Methyl Pyruvate		C	NG	NG
α-Keto-Glutaric Acid	2-oxoglutarate	C	NG	G
D,L-Malic Acid		C	NG	NG
L-Alanyl-Glycine	Ala-Gly	C	NG	G
Acetic Acid	acetate	C	NG	G
Succinic Acid	succinate	C	NG	G
L-Tartaric Acid		C	NG	NG
Propionic Acid		C	NG	NG
Pyruvic Acid	pyruvate	C	G	G
Mono Methyl Succinate		C	NG	NG
L-Alaninamide		C	NG	NG
L-Serine	L-serine	C	NG	G
Formic Acid	formate	C	NG	G
γ-Amino Butyric Acid	gamma-aminobutyrate	C	NG	G
Oxalo malicAcid	3-oxalomalate(3-)	C	G	G
Glycyl-L-Glutamic Acid		C	NG	NG
β-Hydroxy Butyric Acid		C	NG	NG
D-Mannitol	Mannitol	C	NG	NG
D-Lactic Acid Methyl Ester		C	NG	NG
Adonitol (Ribitol)		C	NG	NG
D-Arabitol		C	NG	NG
L-Glutamine	L-glutamine	C	NG	G
Succinamic Acid		C	NG	NG
Bromo Succinic Acid		C	NG	NG
L-L eucine	L-leucine	C	NG	NG
D-Xylose	D-xylose	C	G	G
L-Valine	L-valine	C	NG	NG
D-Sorbitol	D-glucitol	C	NG	G
L-Asparagine	L-asparagine	C	NG	G
Glycyl-L-Proline		C	NG	NG
2-Aminoethanol (Ethanol amine)	ethanolamine	C	NG	NG
D-Ribose	D-ribose	C	G	G
Glycyl-L-Aspartic Acid		C	NG	NG
D-Galacturonic Acid	D-galacturonate	C	NG	NG
Uridine	uridine	C	NG	NG
L-Proline	L-proline	C	NG	G
L-Galactonic Acid-γ-Lactone		C	NG	NG
D-Mannose	D-mannose	C	G	G
δ-Amino Valeric Acid		C	NG	NG
α-Hydroxy GlutaricAcid-γ-Lactone		C	NG	NG
α-D-Glucose	D-glucose	C	G	G
D-Psicose		C	NG	NG
D-Fructose	D-fructose	C	G	G
L-Lyxose		C	G	NG
L-Lysine	L-lysine	C	NG	NG
L-Isoleucine	L-isoleucine	C	NG	NG
α-Keto-Butyric Acid	2-oxobutanoate	C	NG	NG
α-Hydroxy Butyric Acid		C	NG	NG
α-Keto Valeric Acid		C	NG	NG
3-0-β-D Galacto-pyranosyl-D-Arabinose		C	NG	NG
Acetoacetic Acid	acetoacetate	C	G	G
Glyoxylic Acid	glyoxylate	C	NG	G
Tween 20		C	NG	NG
Palatinose	6-O-alpha-D-glucopyranosyl-D-fructofuranose	C	G	G
Dextrin	Dextrin	C	NG	NG
3-Hydroxy 2-Butanone		C	NG	NG
5-Keto-D-Gluconic Acid	5-dehydro-D-gluconate	C	G	G
Tyramine		C	NG	NG
p-Hydroxy Phenyl Acetic Acid (4-Hydroxyphenylacetate)		C	NG	NG
Glucuronamide		C	G	NG
M-Tartaric Acid		C	NG	NG
Inosine	inosine	C	NG	G
Citramalic Acid		C	NG	NG
Glycolic Acid	glycolate	C	NG	NG
Melibionic Acid		C	NG	NG
D-Tartaric Acid		C	NG	NG
Glycerol	glycerol	C	NG	G
Mucic Acid		C	NG	NG
3-Methyl Glucose		C	NG	NG
D-Fructose-6-Phosphate	D-fructose 6-phosphate	C	NG	NG
D-Tagatose	D-tagatose	C	G	G
N-Acetyl-L-Glutamic Acid	N-acetyl-L-glutamate	C	NG	G
Turanose	turanose	C	G	G
D-Glucose-6-Phosphate	D-glucose 6-phosphate	C	NG	G
L-Sorbose	L-sorbose	C	NG	NG
γ-Hydroxy Butyric Acid		C	NG	NG
N-Acetyl-D-Glucosamine	N-Acetyl-D-glucosamine	C	NG	NG
β-Methyl-D-Glucuronic Acid		C	NG	NG
Dulcitol (Galactitol)		C	NG	NG
D-Arabinose	D-arabinose	C	G	G
N-Acetyl-β-D-Mannosamine		C	NG	NG
D-Glucosaminic Acid		C	NG	NG
D-Melezitose		C	NG	NG
D-Cellobiose		C	NG	NG
Putrescine	putrescine	C	NG	NG
Tween 80		C	NG	NG
Quinic Acid		C	NG	NG
Tricarballylic Acid		C	NG	NG
β-D-Allose		C	NG	NG
Chondroitin Sulfate C		C	NG	NG
α-Methyl-D Galactoside		C	NG	NG
Maltotriose	alpha-maltotriose	C	G	G
β-Methyl-D-Glucoside		C	NG	NG
Tween 40		C	NG	NG
