"","Chr","Start","End","Strand","Length","wt00_sorted.bam","wt02_sorted.bam","wt05_sorted.bam","wt10_sorted.bam","wt15_sorted.bam","wt20_sorted.bam","wt30_sorted.bam","wt45_sorted.bam"
"YDL248W","IV","1802","2953","+",1152,563,574,502,357,174,171,178,238
"YDL247W-A","IV","3762","3836","+",75,9,9,5,8,3,4,5,7
"YDL247W","IV","5985","7814","+",1830,36,34,24,14,10,10,31,39
"YDL246C","IV","8683","9756","-",1074,42,25,20,10,5,10,9,14
"YDL245C","IV","11657","13360","-",1704,20,21,8,3,1,0,0,0
"YDL244W","IV","16204","17226","+",1023,31,44,31,18,13,12,6,6
"YDL243C","IV","17577","18566","-",990,220,197,146,81,67,70,58,57
"YDL242W","IV","18959","19312","+",354,6,8,7,0,2,2,0,0
"YDL241W","IV","20635","21006","+",372,14,10,38,64,68,56,94,62
"YDL240W","IV","22823","25876","+",3054,243,143,303,382,362,475,505,540
"YDL239C","IV","26403","28775","-",2373,593,484,583,411,261,207,138,246
"YDL238C","IV","28985","30454","-",1470,459,393,413,231,117,82,69,78
"YDL237W","IV","30657","31829","+",1173,1008,948,948,765,540,558,556,523
"YDL236W","IV","32296","33234","+",939,153,191,473,588,557,644,766,643
"YDL235C","IV","33415","33918","-",504,445,421,474,798,600,581,559,531
"YDL234C","IV","34237","36477","-",2241,2526,2503,2260,554,333,252,315,310
"YDL233W","IV","36797","38173","+",1377,416,427,299,163,128,125,138,122
"YDL232W","IV","38487","38597","+",111,39,35,46,77,70,74,83,74
"YDL231C","IV","38867","42244","-",3378,724,577,694,601,468,539,559,540
"YDL230W","IV","42700","43707","+",1008,246,251,175,153,154,123,108,147
"YDL229W","IV","44065","45906","+",1842,117,125,1782,4705,5828,9511,17597,17019
"YDL228C","IV","45277","45918","-",642,0,0,1,2,1,4,2,2
"YDL227C","IV","46271","48031","-",1761,11,6,17,15,17,81,562,829
"YDL226C","IV","51115","52173","-",1059,283,258,411,556,600,700,844,775
"YDL225W","IV","52445","54100","+",1656,777,748,897,1140,1023,969,965,857
"YDL224C","IV","54397","56346","-",1950,523,465,674,685,512,611,734,667
"YDL223C","IV","57265","60405","-",3141,6356,5611,3327,1151,376,227,130,112
"YDL222C","IV","60872","61801","-",930,4471,3877,2482,686,134,50,26,22
"YDL221W","IV","62011","62562","+",552,31,44,25,13,6,3,1,0
"YDL220C","IV","62244","65018","-",2775,73,69,100,211,184,189,198,164
"YDL219W","IV;IV","65242;65378","65306;65765","+;+",453,50,51,82,159,167,238,349,321
"YDL218W","IV","66493","67446","+",954,26,28,35,19,14,14,17,5
"YDL217C","IV","67983","68606","-",624,183,191,251,265,229,219,215,187
"YDL216C","IV","68997","70319","-",1323,385,348,250,181,124,114,128,141
"YDL215C","IV","70640","73918","-",3279,9987,10548,10822,12592,5046,1972,586,514
"YDL214C","IV","74446","76545","-",2100,1813,1519,410,24,20,22,52,39
"YDL213C","IV","77289","77966","-",678,41,51,221,502,611,766,1105,696
"YDL212W","IV","78426","79058","+",633,428,405,519,627,718,800,1098,1048
"YDL211C","IV","79294","80412","-",1119,11,5,55,94,79,79,148,109
"YDL210W","IV","84270","85985","+",1716,21,20,47,43,20,16,23,20
