gene	rxnID	formula	annotation_uniprot	main_met_mnx	other_met	annotation_SGD	ec_SGD	protein_name_SGD	ec_uniprot	protein_name_uniprot	Annotation_score	reaction_uniprot	annotation_kegg	ec_kegg	annotation_biocyc	annotation_reactome	TC_number	annotation_TCDB	subunit
YGL077C	r_1149	ethanolamine[e] <=> ethanolamine[c]	 Sole choline transporter in yeast.	MNXM218	none	"Plasma membrane transporter for choline, ethanolamine, and carnitine; involved in the uptake of nitrogen mustard and the uptake of glycine betaine during hypersaline stress; co-regulated with phospholipid biosynthetic genes and negatively regulated by choline and myo-inositol"	NA	Plasma membrane transporter for choline, ethanolamine, and carnitine	NA	Choline transport protein	5 out of 5	NA	"HNM1, CTR1; Hnm1p"	NA	Hyper-resistance to Nitrogen Mustard	NA	2.A.3.4.1	Choline transport protein - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJL133W	r_1179	iron(2+)[c] => iron(2+)[m]	 MRS3 suppresses a mitochondrial splice defect in the first intron of the COB gene. It may act as a carrier, exerting its suppressor activity via modulation of solute concentrations in the mitochondrion (possibly of cations).	MNXM111	none	"Iron transporter, mediates Fe2+ transport across inner mito membrane; mitochondrial carrier family member; active under low-iron conditions; may transport other cations; MRS3 has a paralog, MRS4, that arose from the whole genome duplication"	NA	Iron transporter, mediates Fe2+ transport across inner mito membrane	NA	Mitochondrial RNA-splicing protein MRS3	4 out of 5	NA	"MRS3; Fe(2+) transporter"	NA	Mitochondrial RNA Splicing	MRS3/4 Transports Iron Across the Mitochondrial Inner Membrane	2.A.29.5.1	Mitochondrial RNA-splicing protein MRS3 OS=Saccharomyces cerevisiae GN=MRS3 PE=1 SV=4	FALSE
YKR052C	r_1179	iron(2+)[c] => iron(2+)[m]	 MRS4 suppresses a mitochondrial splice defect in the first intron of the COB gene. It may act as a carrier, exerting its suppressor activity via modulation of solute concentrations in the mitochondrion (possibly of cations). Not essential.	MNXM111	none	"Iron transporter of the mitochondrial carrier family; mediates Fe2+ transport across the inner mitochondrial membrane; active under low-iron conditions; may transport other cations; protein abundance increases in response to DNA replication stress; MRS4 has a paralog, MRS3, that arose from the whole genome duplication"	NA	Iron transporter of the mitochondrial carrier family	NA	Mitochondrial RNA-splicing protein MRS4	4 out of 5	NA	"MRS4; Fe(2+) transporter"	NA	Mitochondrial RNA Splicing	MRS3/4 Transports Iron Across the Mitochondrial Inner Membrane	2.A.29.5.2	Mitochondrial RNA splicing protein MRS4 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKL188C	r_1236	stearate[c] <=> stearate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM236	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p	NA	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2)	5 out of 5	NA	"PXA2, PAT1; ATP-binding cassette long-chain fatty acid transporter PXA2"	NA	PeroXisomal ABC-transporter	NA	3.A.1.203.2	Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).	TRUE
YPL147W	r_1236	stearate[c] <=> stearate[p]	 Involved in the import of activated long-chain fatty acids from the cytosol to the peroxisomal matrix. {ECO:0000269|PubMed:8670886}.	MNXM236	none	"Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transporters ABCD1and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant"	NA	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p	NA	Peroxisomal long-chain fatty acid import protein 2 (Peroxisomal ABC transporter 1)	5 out of 5	NA	"PXA1, LPI1, PAL1, PAT2, SSH2; ATP-binding cassette long-chain fatty acid transporter PXA1"	NA	PeroXisomal ABC-transporter	"Translocation of tetracosahexaenoyl-CoA to peroxisomes;Translocation of tetracosapentaenoyl-CoA to peroxisomes;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;ABCD1-3 dimers transfer LCFAs from cytosol to peroxisomal matrix;Peroxisomal uptake of very long-chain fatty acyl CoA;ABCD4 may transport Cbl from lysosomal lumen to cytosol"	3.A.1.203.6	"Peroxisomal long-chain fatty acid import protein 1 (Peroxisomal ABC transporter 2) - Saccharomyces cerevisiae (Baker's yeast).;Peroxisomal long-chain fatty acid import protein 2 OS=Saccharomyces cerevisiae GN=PXA1 PE=1 SV=2"	TRUE
YKL120W	r_1574	2-isopropylmalate[c] <=> 2-isopropylmalate[m]	 Transports oxaloacetate and sulfate.	MNXM164143	none	"Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family"	NA	Mitochondrial inner membrane transporter	NA	Mitochondrial oxaloacetate transport protein (Mitochondrial carrier protein PMT)	5 out of 5	NA	"OAC1; Oac1p"	NA	OxaloAcetate Carrier	NA	2.A.29.15.1	MITOCHONDRIAL CARRIER PROTEIN PMT - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YPR011C	r_1642	adenosine 3',5'-bismonophosphate[c] <=> adenosine 3',5'-bismonophosphate[m]	NA	MNXM45	none	"Mitochondrial transporter; major substrates are adenosine 5'-phosphosulfate (APS) and 3'-phospho-adenosine 5'-phosphosulfate (PAPS); member of the mitochondrial carrier family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	NA	Mitochondrial transporter	NA	Uncharacterized mitochondrial carrier YPR011C	3 out of 5	NA	hypothetical protein	NA	YPR011C	NA	2.A.29.23.9	Uncharacterized mitochondrial carrier YPR011C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR011C PE=1 SV=1	FALSE
YBR147W	r_1657	H+[c] + L-arginine[c] => H+[m] + L-arginine[m]	 May function as an amino acid transporter mediating the export of cationic amino acids from the vacuole. Required for optimal growth in synthetic medium. {ECO:0000269|PubMed:17986253, ECO:0000269|PubMed:23169667}.	MNXM70	h+	"Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; positive regulation by Lys14p suggests that lysine may be the primary substrate; member of the PQ-loop family, with seven transmembrane domains; similar to mammalian PQLC2 vacuolar transporter; RTC2 has a paralog, YPQ1, that arose from the whole genome duplication"	NA	Putative vacuolar membrane transporter for cationic amino acids	NA	Probable vacuolar amino acid transporter YPQ3 (PQ-loop repeat-containing protein 3) (Protein RTC2) (Restriction of telomere capping protein 2)	4 out of 5	NA	"RTC2, RRT11, YPQ3; cationic amino acid transporter"	NA	Restriction of Telomere Capping	PQLC2 transports L-Arg,L-His,L-Lys from lysosomal lumen to cytosol	2.A.43.2.7	Protein RTC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTC2 PE=1 SV=1	FALSE
YDR508C	r_1658	L-asparagine[c] => L-asparagine[m]	 High affinity transport of glutamine. Also transport Leu, Ser, Thr, Cys, Met and Asn. {ECO:0000269|PubMed:10467005, ECO:0000269|PubMed:10654085, ECO:0000269|PubMed:8660458}.	MNXM147	none	"High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication"	NA	High-affinity glutamine permease	NA	High-affinity glutamine permease	4 out of 5	NA	"GNP1; glutamine permease GNP1"	NA	GlutamiNe Permease	NA	2.A.3.10.5	High-affinity glutamine permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YGL077C	r_1684	choline[ce] <=> choline[c]	 Sole choline transporter in yeast.	MNXM90	none	"Plasma membrane transporter for choline, ethanolamine, and carnitine; involved in the uptake of nitrogen mustard and the uptake of glycine betaine during hypersaline stress; co-regulated with phospholipid biosynthetic genes and negatively regulated by choline and myo-inositol"	NA	Plasma membrane transporter for choline, ethanolamine, and carnitine	NA	Choline transport protein	5 out of 5	NA	"HNM1, CTR1; Hnm1p"	NA	Hyper-resistance to Nitrogen Mustard	NA	2.A.3.4.1	Choline transport protein - Saccharomyces cerevisiae (Baker's yeast).	FALSE
